"brank","name","rate","ratepeople","中文名","话数","上映年度","片长","别名","放送开始","放送星期","原作","导演","脚本","分镜","演出","音乐","人物设定","分镜构图","美术监督","色彩设计","作画监督","摄影监督","原画","主题歌编曲","主题歌作曲","主题歌演出","企画","制片人","制作","动画制作","官方网站","url"
"344","HUNTER×HUNTER GREED ISLAND","7.9","751","猎人 OVA2","8",,,"HUNTER×HUNTER GREED ISLAND （OVA第2期） 全职猎人",,,"冨樫義博","福島宏之",,"福島宏之、新留俊哉","清水一伸、福島宏之","佐橋俊彦","田頭しのぶ",,,"宮下眞理",,,"加々美高浩",,,,,,,"日本アニメーション",,"https://bangumi.tv/subject/10357"
"345","Bojack Horseman Season 3","8","200","马男波杰克3","12",,,,"2016年7月22日",,,,,,,,,,,,,,,,,,,,,,"bojackhorseman.com","https://bangumi.tv/subject/186881"
"346","逆境無頼カイジ 破戒録篇","7.9","1905","赌博默示录 破戒录篇","26",,,"逆境无赖开司 破戒录篇 逆境无赖开司 第二季 赌博破戒录","2011年4月5日",,"福本伸行","佐藤雄三","高屋敷英夫、広田光毅","浅香守生、矢嶋哲生、佐藤雄三、神志那弘志、川尻善昭、松村政輝、田中洋之、藤山智美、村岡朋美、中川淳、川村賢一","中川淳、川村賢一、Hong Hun-pyo、Woo Seung-wook、松村政輝、村岡朋美、佐藤雄三、矢嶋哲生",,"高田晴仁",,"上野秀行","大野春恵","Jang Hee kyu、Kang Ill Gu、Jang Kil yong、林隆祥、阿比留隆彦、Lee Boo Hee、森智子、高田晴仁、Kim Dong seek、金東俊、梅原隆弘",,"細居美恵子",,,,"丸山正雄",,,"MADHOUSE","http://www.ntv.co.jp/kaiji_hakairoku/","https://bangumi.tv/subject/12317"
"347","月がきれい","7.8","4997","月色真美","12",,,"as the moon, so beautiful.","2017年4月6日","星期四",,"岸誠二","柿原優子","平井義通、岸誠二、齋藤徳明、平峯義大、浅井義之、岩崎光洋、及川啓","平井義通、岩崎光洋、野崎真代、藤井隆文、平峯義大、中田誠","伊賀拓郎","森田和明",,"安田ゆかり","伊藤さき子","大河内忍、古山瑛一朗、藪田裕希、田中彩、大谷道子、村上直紀、小菅洋、李智悟、松本剛彦、田頭沙織、小美野雅彦、Kim Bong Duk","中村雄太","青木康哲、林隆祥、荒木涼、立田眞一、福島勇",,,"東山奈央",,,,"feel.","http://tsukigakirei.jp/","https://bangumi.tv/subject/207573"
"348","幽☆遊☆白書","7.9","1238","幽游白书","112",,,"ゆうゆうはくしょ","1992年10月10日",,"冨樫義博","阿部記之","大橋志吉、橋本裕志、隅沢克之、富田祐弘","まついひとゆき、小柴純弥、うえだしげる、上妻晋作、下田正美、もりたけし、高橋資祐、山口頼房、水野和則、榎本明広、阿部記之、新房昭之","下田正美、中山晴夫、山口頼房、水野和則、阿部記之、おざわかずひろ、新房昭之、うえだしげる、まついひとゆき、小柴純弥","本間勇輔","山沢実（1-15話）、北山真理、大西雅也（16-112話）",,"池田祐二(～66話)⇒高田茂祝(67話～)",,"若林厚史、越智信次、渡辺英樹、菅野宏紀、梶谷光春、井上敦子、榎本明広、千葉道徳、木﨑文智、室井ふみえ、田中良、島村秀一、増谷三郎、有沢誠、高橋資祐、時矢義則、山沢実","福島敏行","うつのみや理、大塚由、飯飼一幸、奥野浩行、山下将仁、西田寛治、吉原正行、福島喜晴、西尾鉄也、室井ふみえ、大久保宏、新房昭之、中山勝一、尾石達也、鉄羅紀明",,,,"大野実","清水賢治・金田耕司（フジテレビ）、木村京太郎（読広）、萩野賢（ぴえろ）","フジテレビ、読売広告社、ぴえろ","ぴえろ",,"https://bangumi.tv/subject/8803"
"349","HUNTER×HUNTER G・I Final","7.9","718","猎人 OVA3","14",,,"HUNTER×HUNTER G・I Final （OVA第3期） 全职猎人",,,"冨樫義博","佐藤真人、所俊克",,"多田俊介、増井壮一、新留俊哉","小林哲也、杉原由紀、真野玲、西村博昭","佐橋俊彦","青木哲朗、佐野英敏",,,,,,,,,,,,,"日本アニメーション",,"https://bangumi.tv/subject/10358"
"350","ハクメイとミコチ","7.8","1662","妖精森林的小不点","13",,,"白明和御子地 哈库梅伊与蜜珂析 Tiny little life in the woods Hakumei & Mikochi","2018年1月12日","星期五","樫木祐人","安藤正臣","大河内一楼、吉田玲子、國澤真理子","名村英敏、大橋明代、瀬村俊一郎、木野目優、安藤正臣、夕澄慶英","野亦則行、鈴木芳成、安藤正臣、間島崇寛、笹原嘉文、浅見松雄、福井洋平","Evan Call","岩佐とも子",,"栗林大貴","南木由実","山形孝二、山田勝、柳孝相、ハン･ミンギ、相原理沙、西村幸恵、幸野浩二、安形佳己、成川多加志、樋口博美、村松尚雄、菅原浩喜","中川せな","湖川友謙、張鵬、田中宏紀",,,,"菊池剛","比嘉勇二、菊島憲文、山下愼平",,"ラルケ","http://hakumiko.com/","https://bangumi.tv/subject/221726"
"351","海がきこえる","7.8","1352","听到涛声","1",,"70分钟","听见涛声","1993年5月5日",,"氷室冴子","望月智充","丹羽圭子",,,"永田茂","近藤勝也",,"田中直哉",,"近藤勝也",,"芳尾英明、松瀬勝、小野田和由、中山勝一、山川浩臣、近藤喜文、清水洋、古屋勝悟、磯光雄、山田憲一",,,"坂本洋子","奥田誠治","鈴木敏夫",,"スタジオジブリ",,"https://bangumi.tv/subject/513"
"352","シン・エヴァンゲリオン劇場版:│▌","8.1","115","新世纪福音战士新剧场版：终",,,,"新・福音战士剧场版:│▌ EVANGELION:3.0+1.0 Thrice Upon A Time EVANGELION:FINAL",,,"庵野秀明","鶴巻和哉、中山勝一","庵野秀明",,,"鷺巣詩郎",,,"串田達也（でほぎゃらりー）","菊地和子（Wish）","井関修一、金世俊、浅野直之、田中将賀、新井浩一","福士享（T2studio）",,,,"宇多田ヒカル","庵野秀明",,"khara","khara","https://www.evangelion.co.jp/final.html","https://bangumi.tv/subject/29883"
"353","ジャングルはいつもハレのちグゥ FINAL","7.9","744","热带雨林的爆笑生活FINAL","14",,,,,,"金田一莲十郎、金田一蓮十郎","水島努","萩田寛子、廣川浩二、水島努、横手美智子","橘正紀、多田俊介、佐藤雅弘、武本康弘、水島努、山本寛、高橋渉、鴫野彰","多田俊介、武本康弘、山本寛、高橋渉、水島努","多田彰文",,,"古贺彻、古賀徹","松谷早苗","钉宫洋、石井百合子、関口可奈味、釘宮洋、池田和美、米田光良、針金屋英郎",,"門脇聡、石井百合子、池田晶子",,"小杉保夫","愛河里花子、Sister MAYO",,"湯川淳","Bandai Visual、史克威尔艾尼克斯、创通映像、SHIN-EI动画","SHIN-EI动画、シンエイ動画","http://hareguu.bandaivisual.co.jp/","https://bangumi.tv/subject/3293"
"354","俗・さよなら絶望先生","7.8","2198","俗・再见绝望先生","13",,,,"2008年1月5日",,"久米田康治","新房昭之",,"吉松孝博、佐伯昭志、富田浩章、宮本幸裕、飯村正之、中澤勇一、森義博、実原登、今石洋之、鎌田祐輔、湖川友謙、龍輪直征、錦織敦史、加藤顕、板村智幸","宮本幸裕（总演出）、板村智幸、錦織敦史、佐伯昭志、小竹歩、富田浩章、加藤顕、森義博、鎌田祐輔、高橋正典、飯村正之","長谷川智樹","守岡英行",,"栫ヒロツグ","滝沢いづみ","宮崎修治、湖川友謙、西田美弥子、岡本健一郎、守岡英行、芳垣祐介、吉松孝博、日下岳史、田中穣、実原登、貞方希久子、宮西多麻子、錦織敦史、清水慶太、山村洋貴、大田和寛、村松尚雄、中澤勇一、古川英樹、村山公輔","江上怜","湖川友謙、錦織敦史、雨宮哲、久保田誓、中澤勇一、西垣庄子、阿部厳一朗、鈴木勘太、甲田正行、大田和寛、芳垣祐介、吉松孝博、山口智、碇谷敦、佐野恵一、貞方希久子、今村亮、赤井俊文、田中裕介、中村章子",,,,,"久保田光俊、森山敦",,"SHAFT",,"https://bangumi.tv/subject/300"
"355","寄生獣 セイの格率","7.8","5822","寄生兽 生命的准则","24",,,"Kiseijuu: Sei no Kakuritsu","2014年10月8日","星期三","岩明均","清水健一","米村正二、藤田伸三","清水健一、高橋亨、難波日登志、佐山聖子、青山弘、佐藤雄三、澤井幸次、原博、宍戸淳、細川秀樹","澤井幸次、山城智恵、又野弘道、白石道太、稲葉友紀、葛谷直行、川村賢一、石田暢","Ken Arai","平松禎史、小丸敏之",,,"橋本賢","Kim Bong Duk、上原史也、石井ゆみこ、芦谷耕平、窪敏、桜井邦彦、林隆祥、牙威格斗、吉田徹、山崎展義、垪和等、松下純子、平松禎史、篠田章","伏原あかね","吉成曜、青木康哲、林佳織、小室未来",,,"Fear, and loathing in Las Vegas",,"林雅紀",,"MADHOUSE","http://www.kiseiju.jp/","https://bangumi.tv/subject/88433"
"356","ハウルの動く城","7.8","4290","哈尔的移动城堡","1","2004年11月20日","119分","Howl's Moving Castle 霍爾的移動城堡 豪尔的机动城堡 呼啸山城",,,"ダイアナ・ウィン・ジョーンズ","宮崎駿","宮崎駿",,,"久石譲",,,"吉田昇、武重洋二","保田道世","片塰満則、高坂希太郎",,"山下明彦、粟田務、米林宏昌、橋本敬史、濱洲英喜、大平晋也、君島繁、田中敦子、近藤勝也、大塚伸治、二木真希子、大杉宜弘、武内宣之、田村篤、桝田浩史、芳尾英明、山森英司、山田憲一、賀川愛、小野田和由、山川浩臣、松瀬勝",,,,,"鈴木敏夫、John Lasseter、奥田誠治","松下武義","スタジオジブリ",,"https://bangumi.tv/subject/312"
"357","THE IDOLM@STER MOVIE 輝きの向こう側へ！","7.8","1452","偶像大师 剧场版 向着光辉的彼岸！","1","2014年1月25日","120分钟","偶像大师剧场版 走向光辉的未来 THE iDOLM@STER MOVIE Beyond The Brilliant Future！",,,"バンダイナムコゲームス、バンダイナムコエンターテインメント","錦織敦史","錦織敦史、髙橋龍也","神戸守、伊藤祐毅、錦織敦史、益山亮司、高雄統子","高雄統子（系列演出）、錦織敦史、高橋正典、伊藤祐毅、益山亮司、原田孝宏","高田龍一","錦織敦史、（百万人物）鈴木大",,"薄井久代","中島和子","赤井俊文、山口智、髙田晃、田中裕介、奥田佳子、錦織敦史","田村仁","斉藤健吾、道下康太、山田有慶、長町英樹、小笠原真、益山亮司、錦織敦史、高雄統子、山口智、河野恵美、植村淳、江畑諒真、古川博之、川妻智美、田中裕介、まじろ、林勇雄、桑名郁朗、浅賀和行、濱口明、小松勇輝、野中正幸、末澤慧、伊藤祐毅、王國年、安野将人、古川良太、山口賢一、小島崇史、下司祐也、乘田拓茂、小坂倫洋、中村章子","高田龍一、神前暁","神前暁","765PRO ALLSTARS",,"福島祐一、中川浩二",,"A-1 Pictures","http://www.idolmaster-anime.jp","https://bangumi.tv/subject/64172"
"358","×××HOLiC","7.8","2473",,"24",,,"四月一日灵异事件簿 次元魔女 xxxHolic","2006年4月6日","星期四","CLAMP","水島努","横手美智子、大川七瀬（CLAMP）、平見瞠、櫻井圭記、水島努、","湖山禎崇、向中野義雄、松園公、葛谷直行、佐藤豊、岩崎太郎、岩永悦宜、福富博、水島努","渡辺正彦、馬場誠、岩崎太郎、黒田幸生、筑紫大介、寺沢伸介、向中野義雄、湖山禎崇","S.E.N.S. Project","黄瀬和哉",,"小倉宏昌","広瀬いづみ","谷口淳一郎、寺沢伸介、中野涼子、植田実、いずみひろよ、石丸賢一、松本朋之、浦和文子","小西庸平","宮沢康紀、古川知宏、沈宏、塩谷直義、滝山真哲",,,"Fonogenico","余田光隆、軽部重信、吉岡富夫、坂本直紀、石川光久、安田正樹、藤本清和",,"TBS・アヤカシ研究会","Production I.G","http://www.tbs.co.jp/holic/1st/","https://bangumi.tv/subject/2439"
"359","げんしけん2","7.8","1716","现视研2","12",,,,"2007年10月9日","星期二","木尾士目","よしもときんじ","木尾士目、横手美智子","岩崎知子、よしもときんじ、影山楙倫、三田小太郎","中村近世、松本マサユキ、岩永彰、岩崎知子、よしもときんじ、藤本義孝","小池雅也、オカザキシュン","柳田義明",,"奥井伸","よしもときんじ","Park Changhwan、服部憲知、Joung Soon an、りんしん、石橋有希子、野口孝行、Eum lk Hyun、Seo jin Won、小川一郎、清水智子、柳田義明、宮澤努、栗原学","佐々木和宏",,,,,,,,"ARMS","http://www.genshiken.info/","https://bangumi.tv/subject/1219"
"360","スレイヤーズ","7.8","1146","秀逗魔导士","26",,,"Slayers 魔剑美神","1995年4月7日",,"神坂一","渡部高志","山田靖智、花田十輝、千葉克彦、小山高生、渡辺誓子、長谷川勝己、高山治郎","松浦錠平、松園公、則座誠、横田和、又野弘道、牧野滋人、玉野陽美、渡部高志、小林孝志、佐藤英一、岩崎良明、石崎すすむ、佐藤真人、鈴木行","佐藤英一、佐藤真人、横田和、渡部高志、岩崎良明、小林孝志、玉野陽美、松浦錠平、石崎すすむ、則座誠","Vink、手塚理","宮田奈保美",,,,"戸部敦夫、菊池城二、加藤洋人、箕輪悟、宍戸久美子、佐々木一浩、宮田奈保美","神山茂男",,,,,,,,"イージー・フイルム",,"https://bangumi.tv/subject/2094"
"361","続・終物語","7.8","1460","续·终物语","6","2018年11月10日",,"续终物语 ゾク・オワリモノガタリ Zoku Owarimonogatari",,,"西尾維新（『続・終物語』講談社BOX）","新房昭之","木澤行人（ライトワークス）","安食圭、大石美絵、吉澤翠、大谷肇、岡田堅二朗","大谷肇、岡田堅二朗、川崎ゆたか、浅見隆司、吉澤翠","羽岡佳","渡辺明夫",,,,"杉山延寛、秋葉徹、高野晃久、浅井昭人、野道佳代、宮嶋仁志、伊藤良明、清水勝祐、牛ノ濱由惟","衛藤直毅","小森良、阿部厳一朗、横田拓己、砂田茂樹、佐藤颯、大橋勇吾、川田和樹、長田寛人、小堺能夫、山中祥平、安食圭、二宮奈那子、渡辺明夫、竹内一将、横屋健太、潮月一也、鈴木勘太、高野晃久、荒木裕","神前暁、毛蟹","神前暁","神谷浩史（OP）、TrySail（ED）","久保田光俊","石川達也",,"SHAFT","http://www.monogatari-series.com/zokuowarimonogatari","https://bangumi.tv/subject/233926"
"362","ジャングルはいつもハレのちグゥ デラックス","7.8","769","热带雨林的爆笑生活DELUXE","12",,,,,,"金田一蓮十郎","水島努","水島努、横手美智子、萩田寛子","池端隆史、水島努、山本寛、武本康弘","池端隆史、多田俊介、武本康弘、水島努、山本寛","多田彰文",,,"高崎あゆみ","松谷早苗","杉光登、東出太、池田和美、釘宮洋、原勝徳",,"大沼心、門脇聡、池田晶子",,"小杉保夫","Sister MAYO",,"湯川淳","Bandai Visual、シンエイ動画、エニックス、コロムビアミュージックエンタテインメント、創通","シンエイ動画","http://hareguu.bandaivisual.co.jp/dx/","https://bangumi.tv/subject/3292"
"363","シュタインズ・ゲート ゼロ","7.8","3844","命运石之门 0","24",,,"Steins;Gate 0","2018年4月11日","星期三","志倉千代丸/MAGES.","川村賢一","花田十輝、安本亨","武市直子、中山奈緒美、おざわかずひろ、川村賢一、高木啓明、尾崎隆晴、外川慶、神谷純、久保雄介","青木YOUイチロー、高杉旭、川村賢一、平向智子、おざわかずひろ、工藤寛顕、武市直子、古賀一臣、関谷真実子、土屋浩幸、久保雄介、高木啓明","信澤宣明、日向萌、阿保剛","稲吉智重、稲吉朝子",,,"佐藤美由紀","菊地功一、池田有、岩田景子、藤木奈々、武本大介、平村直紀、木宮亮介、中村和久、稲吉智重、稲吉朝子、林隆祥、ぐんそう、小野晃、井川典恵、西村幸恵、渡邉八恵子、相澤秀亮、中田正彦、徳田夢之介","塩川智幸","種村綾隆、牛島勇二、岩田幸子、werkbau、猿渡聖加、藤本航己、飯村真一、児玉ひかる、小澤和則、前田義宏、佐々木一浩、はっとりますみ、本木久年、中山知世、岩田景子、中村和久、藤部生馬、平村直紀、中田正彦、中村純子、中熊太一、稲吉智重、松下純子、柴田志朗、相澤秀亮、鈴木祥子、藤木奈々、永吉隆志、古賀一臣","悠木真一","志倉千代丸","いとうかなこ、Zwei、今井麻美","菊池剛、工藤大丈",,,"WHITE FOX","http://steinsgate0-anime.com/","https://bangumi.tv/subject/129807"
"364","かぐや様は告らせたい～天才たちの恋愛頭脳戦～","7.8","7532","辉夜大小姐想让我告白～天才们的恋爱头脑战～","12",,,"辉夜姬想让人告白～天才们的恋爱头脑战～ Kaguya-sama: Love Is War","2019年1月12日","星期六","赤坂アカ（集英社「週刊ヤングジャンプ」連載）","畠山守（小俣真一）","菅原雪絵、中西やすひろ","畠山守（小俣真一）、十的一発、小原正和、及川啓、斉藤哲人、藤澤俊幸、中村哲治","安部祐二郎、久保太郎、イソノ、宇都宮正記、飛田剛、菊池貴行、小原正和、池田愛彩、畠山守（小俣真一）","羽岡佳","八尋裕子",,"若林里紗","ホカリカナコ","木藤貴之、小野田貴之、Park Ae-Lee、石崎夏海、佐藤好、ぐんそう、井元一彰、ウクレレ善似郎、鎌田均、山田俊太郎、野間聡司、山口仁七、大野仁愛、石川洋一、Shim Min-hyeon、川﨑玲奈、Hong Yu-mi、山崎浩平、橋口隼人、鳥居貴史、針場裕子","岡﨑正春","松田剛吏、吉開順子、和田伸一、鳥居貴史、石川洋一、由井翠、蛯名秀和、柿木田隼人、大野仁愛、徳田大貴、西岡忍、伊藤幸、大藪佳奈子、牧野和俊、矢向宏志、萩原正人、岩井優器、徳丸輝明、田守優希、中山直哉、井元一彰、齊藤寛、加藤愛仁、鈴木萌",,"水野良樹","鈴木雅之、halca",,"山田賢志郎",,"A-1 Pictures","http://kaguya.love/","https://bangumi.tv/subject/248175"
"365","South Park Season 14","8","176","南方公园 第14季","14",,,,"2010年3月17日",,,,,,,,,,,,,,,,,,,,,,,"https://bangumi.tv/subject/10197"
"366","けものフレンズ","7.8","3767","兽娘动物园","12",,,"动物朋友 萌兽之友 动物好友 兽娘小伙伴","2017年1月10日","星期二","けものフレンズプロジェクト","たつき","たつき","たつき","たつき","立山秋航","irodori",,"白水優子",,"伊佐佳久","石山智之",,"R_Men_Soul、大石昌良","みゆはん、大石昌良","みゆはん",,"細谷伸之、岡本泰幸、清水美佳、福田聡、秋尾浩史、石垣吉彦、工藤大丈、塩田友、和泉勇一、福田順、福原慶匡",,"ヤオヨロズ","http://kemono-friends-20170110.jp","https://bangumi.tv/subject/176478"
"367","Bojack Horseman","7.9","375","马男波杰克","12",,,,"2014年8月22日",,,,,,,,,,,,,,,,,,,,,,,"https://bangumi.tv/subject/124649"
"368","たまこラブストーリー","7.8","4214","玉子爱情故事","1","2014年4月26日","84min","玉子恋爱物语 玉子市场 剧场版 Tamako Love Story",,,"京都アニメーション","山田尚子","吉田玲子","山田尚子、石原立也","河浪栄作、石原立也、小川太一、山村卓也、山田尚子","片岡知子","堀口悠紀子",,"田峰育子","竹田明代","引山佳代、堀口悠紀子、植野千世子、秋竹斉一、丸木宣明","船本孝平、山本倫","池田晶子、藤田春香、堀口悠紀子、明見裕子、雪村愛、内藤直、丸子達就、中野江美子、柏木平、山村卓也、紫藤晃由、大藤佐恵子、瀬崎利恵、高橋真梨子、岩崎菜美、鈴木沙奈、石立太一、丸木宣明、植野千世子、高橋博行、北之原孝將、秋竹斉一、引山佳代","谷口尚久","藤本功一","洲崎綾","京都アニメーション","中山佳久、中村伸一、古川陽子、八田陽子、瀬波里梨",,"京都アニメーション","http://tamakolovestory.com","https://bangumi.tv/subject/90880"
"369","デトロイト・メタル・シティ","7.9","620","重金属摇滚双面人","12",,,"底特律金属城 Detroit Metal City",,,"若杉公徳","長濵博史",,,,"山本はるきち",,,"小林七郎","佐藤优",,"大山佳久","沼田誠也、満仲勧",,,,"川村元気",,,"STUDIO 4℃",,"https://bangumi.tv/subject/2108"
"370","マリア様がみてる 4thシーズン","7.9","519","圣母在上 第4季","13",,,,"2009年1月3日",,"今野緒雪","加藤敏幸","吉田玲子、真部千晶、吉村元希、高橋ナツコ","池田重隆、まつもとよしひさ、小島正士、新留俊哉、加藤敏幸、そえたかずひろ、ふくだのりゆき","五月女有作、加藤顕、まつもとよしひさ、内山まな、則座誠、神保昌登、吉田俊司、加藤敏幸、筑紫大介",,"松島晃",,,"松本真司","松島晃、渡辺伸弘、森本浩文、ウクレレ善似郎、吉田和香子、杉本光司、水谷麻美子、佐々木敏子、外崎春雄、星野真澄、山崎輝彦、佐野恵一、亀谷響子、原田大基、寺沢伸介、村松尚雄","川口正幸","原田大基、中嶋敦子、mebae",,,,,,"山百合会3","スタジオディーン","http://www.gokigenyou.com","https://bangumi.tv/subject/1321"
"371","戦闘妖精雪風","7.8","1175","战斗妖精雪风","5",,,"Sentou Yousei Yukikaze",,,"神林長平","大倉雅彦","十川誠志、大倉雅彦、多田由美、山口宏、山下いくと、きお誠児","城正克、山内重保、大倉雅彦、福田道生","羽生尚靖、高橋幸雄、大倉雅彦","三柴理、塩野道玄（ザ 蟹）、THE金鶴","多田由美、相澤昌弘","加藤優、朝来昭子","竹田悠介、加藤朋則","村田恵理子、村田恵里子","大塚八愛、加藤優、朝来昭子、蘇武裕子",,"増尾昭一、福田道生、大塚八愛、朝来昭子、上田みねこ",,,,"飯田馬之介",,"バンダイビジュアル、ビクターエンタテインメント、GONZO","GONZO DIGIMATION",,"https://bangumi.tv/subject/2842"
"372","劇場版 空の境界 第四章 伽藍の洞","7.8","5028","剧场版 空之境界 第四章 伽蓝之洞","1","2008年5月24日","50分","the Garden of sinners: garan-no-dou.",,,"奈須きのこ","滝口禎一","平松正樹",,,"梶浦由記","須藤友徳、滝口禎一",,"海老澤一男","千葉絵美","滝口禎一、須藤友徳","寺尾優一、松田成志","木村豪",,,"Kalafina",,"岩上敦宏、近藤光、針生雅行",,"ufotable",,"https://bangumi.tv/subject/766"
"373","銀河鉄道999","8.1","120","银河铁道999","113",,,,"1978年9月14日","星期四","松本零士",,"藤川桂介、山浦弘靖、吉田喜昭",,"大谷恒清、古沢日出夫、川田武範、芹川有吾、布川ゆうじ、湯山邦彦、井内秀治、福島和美、生頼昭憲、箕ノ口克己、葛西治、新田義方、西沢信孝、久岡敬史、明比正行、石黒育","青木望","荒木伸吾（初期数話のみ）、湖川滋（湖川友謙）（31話からクレジット表記が滋から「友謙」に変更）",,"窪田忠雄、勝又激、土田勇",,"兼森義則、落合正宗、石黒育、長谷川憲生、中村一夫、坂本三郎、田中保、津野二朗、湖川友謙、なかじまちゅうじ、芦田豊雄、篠田章、中村太一、松本清、八幡正、小松原一男、木下ゆうき、内山正幸、飯野皓",,"新井豊、落合正宗、石黒育、湖川友謙、なかじまちゅうじ、金田伊功、金澤勝眞、山田徹、青山充、上條修、稲野義信、及川博史、佐藤元",,,"ささきいさお、杉並児童合唱団","別所孝治、横山賢二、小湊洋市",,"フジテレビ、東映動画（東映アニメーション）",,"http://www.toei-anim.co.jp/lineup/tv/999/","https://bangumi.tv/subject/10392"
"374","星游记","7.8","918","星游记","26",,,"太空漫游记 太空大冒险 Rainbow Sea","2011年10月30日","星期日",,"刘北","刘北",,,,,"毛思明",,,,,,,,,,,,"电动画TINKID","http://weibo.com/2234747115","https://bangumi.tv/subject/4884"
"375","狼と香辛料","7.8","5720","狼与香辛料","13",,,,"2008年1月8日","星期二","支倉凍砂","高橋丈夫","荒川稔久","高本宣弘、高橋丈夫、矢吹勉、中山正恵、島津裕行","小野田雄亮、宍戸淳、迫井政行、臼井文明、高木秀文、古谷田順久、岩本美香、川久保圭史、高橋丈夫","吉野裕司","黒田和也",,"小濱俊裕","佐野ひとみ","玉井公子、JOO OK YOON、PARK GI DEOK、髙澤美佳、清水空翔、桂木杏、広田知子、李時旼、KYOUNG BACK MIN、小堺能夫、大塚美登理","松井伸哉",,,,,,"石黒達也、徳田直已、鈴木智子、松永裕一、あらかわまさのぶ",,"イマジン","http://spicy-wolf.com/1st/top.html","https://bangumi.tv/subject/282"
"376","モブサイコ100","7.8","5379","灵能百分百","12",,,"Mob Psycho 100 路人超能100","2016年7月11日","星期一","ONE（小学館「マンガワン」連載中）","立川譲","瀬古浩司","重原克也、安斎剛文、藤沢研一、米たにヨシトモ、立川譲、川畑喬","川畑喬、安斎剛文、大矢雄嗣、立川譲、重原克也、金森陽子、藤沢研一","川井憲次","亀田祥倫",,"河野羚","中山しほ子","村井孝司、藤沢研一、吉田奏子、山田歩、亀田祥倫、小田剛生、富田恵美、斉藤英子、もろゆき沙羅","古本真由子","村上泉、中村颯、砂小原巧、森佳祐、長坂慶太、小笠原真、川元利浩、重原克也、佐藤美代、佐藤利幸、内田直人、宮本託自、加藤滉介、五十嵐祐貴、秦綾子、篠田知宏、桑名郁朗、もろゆき沙羅、関弘光、田中宏紀、高橋裕一、松本憲生、吉田奏子、小田剛生、中村豊、伍柏諭、菊池聡延、橋本敬史、門上洋子、石橋翔祐、ONE、土上いつき、荒井和人、渡邊啓一郎、山田歩、藤沢研一、高山朋浩、光田史亮、金子雄人、斉藤英子、濱口明、亀田祥倫","前口渉 / ALL OFF・Hirokazu Ebata","佐々木淳一 / Hirokazu Ebata","MOB CHOIR / ALL OFF","南雅彦、武智恒雄、川村明廣",,,"BONES","http://mobpsycho100.com/1st/","https://bangumi.tv/subject/158316"
"377","こちら葛飾区亀有公園前派出所","8","121","乌龙派出所","373",,,"こち亀 这里是葛饰区龟有公园前派出所","1996年6月16日","星期日","秋本治","やすみ哲夫→三沢伸→高松信司→高本宣弘→鴫野彰","小山高男、杉浦真夕、岸間信明、山田隆司","近藤信宏、多田俊介、栗山美秀、佐々木皓一、榎本明広、芦沢剛史、善聡一郎、米たにヨシトモ、誌村宏明、ワタナベシンイチ、秦義人、谷口悟朗、菱川直樹、辻初樹、ムトウユージ、岩本保雄、小野勝巳、垂永士、奈須川充、三沢伸、森脇真琴、高柳哲司、酒井伸次、秋本治、川島宏、錦織博、小滝礼","ワタナベシンイチ、秦義人、菱川直樹、鶴田寛、辻初樹、三沢伸、山崎友正、高橋幸雄、森脇真琴、多田俊介、津田義三、山崎浩司、高柳哲司、安形裕篤、小野勝巳、佐々木皓一、渡辺健一郎、奈須川充、岩本保雄、小滝礼、高遠和茂、石川敏浩、剛田隼人、山田一夫、榎本明広、栗山美秀、長尾粛、荻原露光、米たにヨシトモ、善聡一郎","佐橋俊彦、米光亮","丹内司",,"柴田聡",,"丹内司（後期はメインキャラデザイン）、山内昇寿郎（2000年まで）→北崎正浩（後期から ゲストキャラデザイン、総作画監督）、Ko Seong Woon、高橋晃、亀井隆、野口啓生、平山英嗣、松本朋之、森川均、原憲一、尼野浩正、増谷三郎、吉田光昭、佐久間信一、日高真由美、奈須川充、高橋和徳、時永宜幸、金子匡邦","小堤勝哉→清水泰宏→枝光弘明→赤沢賢二","横田明美、平山英嗣、飯飼一幸、板津匡覧、丸山修二、甲斐泰之、原憲一、辻初樹、秋本治、神谷智大、加藤寛崇、時永宜幸、加々美高浩、石川てつや、和田高明、山下喜光",,,,"清水賢治→金田耕司→藤山太一郎→小中ももこ・中野利幸（一時期）→浜野貴敏、杉山豊→松下洋子","金田耕司 、若菜章夫・別府幸司→池牟禮誠→杉村重郎→河村義治 、松下洋子・生田英隆→三宅将典","ADK、アサツー ディ・ケイ","ぎゃろっぷ","http://www.j-kochikame.com/","https://bangumi.tv/subject/2166"
